City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,petropavlovsk-kamchatsky,53.0452,158.6483,266.48,79,75,2.0,RU,1733435656
1,new norfolk,-42.7826,147.0587,290.88,48,45,1.33,AU,1733435658
2,outjo,-20.1167,16.15,294.34,39,5,5.35,NA,1733435659
3,lindi,-10.0,39.7167,297.84,92,88,0.68,TZ,1733435660
4,tiksi,71.6872,128.8694,247.85,97,63,3.16,RU,1733435661
5,chasse-sur-rhone,45.5834,4.7982,279.3,71,100,1.03,FR,1733435663
6,san patricio,28.017,-97.5169,291.12,78,100,6.28,US,1733435664
7,belyy yar,53.6039,91.3903,261.09,92,84,1.0,RU,1733435665
8,bethel,41.3712,-73.414,273.1,71,63,0.89,US,1733435666
9,lihue,21.9789,-159.3672,293.96,95,100,4.63,US,1733435668
10,la ronge,55.1001,-105.2842,265.27,100,100,3.09,CA,1733435669
11,kodiak,57.79,-152.4072,272.88,100,100,1.54,US,1733435670
12,argo,37.6333,22.7333,285.34,97,100,3.19,GR,1733435671
13,vadso,70.0744,29.7487,268.24,74,40,10.29,NO,1733435674
14,angaur state,6.906,134.13,302.13,76,95,5.13,PW,1733435675
15,thompson,55.7435,-97.8558,255.24,78,100,1.03,CA,1733435677
16,st. john's,47.5649,-52.7093,274.02,73,75,4.12,CA,1733435678
17,lata,40.1629,-8.3327,285.64,93,96,1.0,PT,1733435679
18,albany,42.6001,-73.9662,272.74,59,82,4.47,US,1733435680
19,rongelap,11.1635,166.8941,301.09,82,38,11.11,MH,1733435682
20,kamina,-8.7386,24.9906,290.33,97,98,1.87,CD,1733435683
21,constantia,44.1833,28.65,274.53,84,100,7.0,RO,1733435684
22,port-aux-francais,-49.35,70.2167,275.95,96,80,22.04,TF,1733435686
23,mil'kovo,55.6078,37.7956,267.23,65,93,3.84,RU,1733435687
24,adamstown,-25.066,-130.1015,296.48,74,100,6.04,PN,1733435688
25,gadzhiyevo,69.2551,33.3362,268.8,86,88,9.46,RU,1733435689
26,ushuaia,-54.8,-68.3,279.96,53,75,6.69,AR,1733435691
27,waitangi,-43.9535,-176.5597,286.38,90,100,6.71,NZ,1733435692
28,ilulissat,69.2167,-51.1,263.16,62,75,8.75,GL,1733435693
29,bilibino,68.0546,166.4372,250.77,99,9,2.05,RU,1733435695
30,ambalavao,-21.8333,46.9333,292.15,91,82,1.24,MG,1733435696
31,morehead city,34.7229,-76.726,290.15,42,40,6.17,US,1733435697
32,wamba,8.9333,8.6,296.19,30,30,1.65,NG,1733435698
33,avarua,-21.2078,-159.775,300.18,74,40,5.14,CK,1733435414
34,la mira,18.035,-102.3266,300.78,69,18,2.89,MX,1733435701
35,brisas de zicatela,15.8369,-97.0419,301.02,63,61,2.19,MX,1733435702
36,tinogasta,-28.0632,-67.5649,306.37,13,68,6.11,AR,1733435704
37,island harbour,50.724,-1.2758,282.45,69,68,5.81,GB,1733435705
38,kone,-21.0595,164.8658,304.1,50,14,1.04,NC,1733435708
39,georgetown,5.4112,100.3354,296.98,87,20,2.06,MY,1733435709
40,badger,64.8,-147.5333,264.08,90,100,2.57,US,1733435710
